"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2024","73.394501","73.025948","74.269753","72.608101","","0.87%"
"03/18/2024","72.763000","73.607750","74.355652","72.651199","","-0.83%"
"03/15/2024","73.370697","72.829552","74.029999","72.564049","","0.79%"
"03/14/2024","72.796997","72.811996","73.532898","72.386703","","0.02%"
"03/13/2024","72.779404","73.192650","73.884201","72.261200","","-0.47%"
"03/12/2024","73.120201","72.564400","73.478699","72.286499","","0.59%"
"03/11/2024","72.691597","72.741447","74.021599","71.028099","","0.07%"
"03/08/2024","72.640900","72.501900","73.154953","72.263847","","0.24%"
"03/07/2024","72.469299","72.540947","73.019753","72.203247","","-0.05%"
"03/06/2024","72.508400","72.626648","73.296402","71.633400","","-0.11%"
"03/05/2024","72.586998","73.023201","73.213753","72.110397","","-0.29%"
"03/04/2024","72.799599","73.276199","73.535950","72.541649","","-0.36%"
"03/01/2024","73.065002","73.038651","74.061050","72.412354","","-0.17%"
"02/29/2024","73.185799","73.328300","73.725548","72.124901","","-0.15%"
"02/28/2024","73.295303","73.619949","74.014053","72.561996","","-0.40%"
"02/27/2024","73.586899","74.218048","74.392601","73.072899","","-0.85%"
"02/26/2024","74.218048","74.959900","75.550697","73.279953","","-0.95%"
"02/23/2024","74.926300","74.392349","76.953949","73.372803","","0.76%"
"02/22/2024","74.359001","73.520248","75.877953","73.000648","","1.24%"
"02/21/2024","73.449501","74.033096","75.676750","72.950851","","-0.47%"
"02/20/2024","73.799797","73.939598","74.405998","72.866699","","-1.14%"
"02/19/2024","74.653900","73.659401","75.225647","72.866699","","1.40%"
"02/16/2024","73.626297","73.865646","75.936600","73.472900","","-0.24%"
"02/15/2024","73.804497","73.452850","75.189552","72.494499","","0.59%"
"02/14/2024","73.368797","73.317047","74.659698","73.237747","","0.12%"
"02/13/2024","73.284103","73.157547","74.387154","71.110649","","0.42%"
"02/12/2024","72.976402","73.033699","74.068398","73.008049","","-0.03%"
"02/09/2024","73.000801","73.115952","74.736053","71.733704","","-0.11%"
"02/08/2024","73.083000","73.527000","74.479149","73.013451","","-0.56%"
"02/07/2024","73.493896","72.512749","74.573196","72.512749","","1.40%"
"02/06/2024","72.475700","73.349052","74.263603","72.144302","","-0.15%"
"02/05/2024","72.582199","73.074654","74.154297","72.561752","","-0.63%"
"02/02/2024","73.041702","72.769997","74.032547","72.323952","","0.48%"
"02/01/2024","72.692902","72.422096","73.632698","72.260551","","0.42%"
"01/31/2024","72.389297","72.136597","72.967552","71.829453","","0.51%"
"01/30/2024","72.024002","71.856850","72.880402","71.379051","","0.65%"
"01/29/2024","71.559502","72.378998","73.287697","70.625450","","-1.09%"
"01/26/2024","72.346199","71.724899","72.997398","71.649452","","0.91%"
"01/25/2024","71.692398","71.447151","72.446297","71.259598","","0.45%"
"01/24/2024","71.372597","71.346298","72.116852","70.912750","","-0.09%"
"01/23/2024","71.438202","70.864754","71.846451","70.583252","","0.85%"
"01/22/2024","70.832603","71.068703","71.765450","70.594803","","-0.29%"
"01/19/2024","71.036400","71.999901","72.608452","70.261803","","-1.29%"
"01/18/2024","71.967300","71.316452","72.726547","71.157951","","1.52%"
"01/17/2024","70.889503","70.962196","72.149399","70.228050","","-0.06%"
"01/16/2024","70.930000","70.735252","71.707199","70.161598","","0.32%"
"01/15/2024","70.703102","71.204201","71.681801","70.313904","","-0.24%"
"01/12/2024","70.876198","71.278954","72.138901","70.889999","","-0.48%"
"01/11/2024","71.216797","71.951797","72.371498","70.919250","","-1.01%"
"01/10/2024","71.945396","72.282303","73.024399","71.921249","","-0.45%"
"01/09/2024","72.272697","73.367149","74.038101","71.934898","","-1.25%"
"01/08/2024","73.186699","73.592697","74.049248","72.601402","","-0.31%"
"01/05/2024","73.411697","74.018250","74.708199","73.250603","","-0.77%"
"01/04/2024","73.984596","74.523354","75.113152","73.648048","","-0.68%"
"01/03/2024","74.489502","73.201653","75.274353","72.831650","","1.81%"
"01/02/2024","73.168404","72.250450","74.063103","72.250450","","1.32%"
"01/01/2024","72.217598","72.250450","72.250450","72.250450","","0.00%"
"12/29/2023","72.217598","71.725098","73.904099","71.581253","","0.73%"
"12/28/2023","71.692398","74.189301","74.487999","71.330147","","-3.17%"
"12/27/2023","74.036697","74.140549","74.947647","73.390953","","-0.13%"
"12/26/2023","74.133301","74.310600","74.321747","73.854149","","0.03%"
"12/25/2023","74.111000","74.531952","74.855652","72.454201","","-0.55%"
"12/22/2023","74.518402","75.081802","75.446999","73.082100","","-0.71%"
"12/21/2023","75.047798","73.141296","75.333450","72.631447","","2.64%"
"12/20/2023","73.117348","73.130600","74.050201","72.164803","","0.03%"
"12/19/2023","73.097397","73.082497","73.455650","72.360397","","0.07%"
"12/18/2023","73.049400","73.237747","73.965752","72.403801","","-0.21%"
"12/15/2023","73.204498","72.442749","74.601349","70.569199","","1.10%"
"12/14/2023","72.409798","72.248650","73.546051","71.431999","","0.27%"
"12/13/2023","72.215797","73.253754","73.474747","71.781349","","-1.32%"
"12/12/2023","73.183899","73.810799","74.097649","72.558098","","-0.31%"
"12/11/2023","73.408897","74.845749","74.950249","72.839996","","-1.86%"
"12/08/2023","74.800697","75.069153","75.168053","73.520599","","0.04%"
"12/07/2023","74.773804","75.497147","76.106003","74.597748","","-0.65%"
"12/06/2023","75.262901","73.406700","76.105247","72.312248","","2.58%"
"12/05/2023","73.368698","74.329948","75.594101","72.881348","","-1.55%"
"12/04/2023","74.525902","74.166100","74.858452","73.300499","","0.54%"
"12/01/2023","74.125000","73.163002","74.216148","72.127899","","1.36%"
"11/30/2023","73.129601","72.126198","73.688049","71.447250","","1.44%"
"11/29/2023","72.093201","72.197098","72.924950","71.423553","","0.19%"
"11/28/2023","71.959900","72.359596","72.996948","71.490753","","-0.51%"
"11/27/2023","72.326599","72.624298","72.748497","71.586098","","-0.36%"
"11/24/2023","72.591103","72.047951","73.449547","71.536751","","0.76%"
"11/23/2023","72.043503","71.934052","73.000847","70.796799","","0.20%"
"11/22/2023","71.901100","71.918854","72.218803","71.317047","","0.02%"
"11/21/2023","71.885902","72.124252","72.500702","70.660454","","-0.28%"
"11/20/2023","72.091202","73.067947","73.534798","70.583649","","-1.29%"
"11/17/2023","73.034500","72.748703","73.911598","71.682098","","0.44%"
"11/16/2023","72.715401","72.830101","73.361053","71.782997","","-0.11%"
"11/15/2023","72.796799","73.657547","74.494698","71.687553","","-0.60%"
"11/14/2023","73.236603","74.716148","75.034103","73.201447","","-2.10%"
"11/13/2023","74.808197","75.203049","75.490250","74.193001","","-0.37%"
"11/10/2023","75.082497","74.605003","75.428452","74.253403","","0.69%"
"11/09/2023","74.570999","74.692902","75.460098","74.317947","","-0.12%"
"11/08/2023","74.658897","74.999496","75.512802","74.339203","","-0.41%"
"11/07/2023","74.965302","75.509354","75.964447","74.374451","","-0.47%"
"11/06/2023","75.321503","75.771149","76.035454","74.875549","","-0.55%"
"11/03/2023","75.736603","76.205002","76.865448","74.909302","","-0.57%"
"11/02/2023","76.170197","75.597954","76.945450","75.063698","","0.80%"
"11/01/2023","75.563400","76.280647","76.727852","75.008949","","-1.19%"
"10/31/2023","76.470497","75.741249","76.789299","74.818947","","1.43%"
"10/30/2023","75.393402","77.035950","77.252502","75.517349","","-2.09%"
"10/27/2023","77.000801","76.698898","78.445503","74.940697","","0.44%"
"10/26/2023","76.663803","77.079903","77.419800","75.908546","","-0.49%"
"10/25/2023","77.044601","76.619247","77.309097","75.828400","","0.60%"
